Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",Otto Wagner,6210,Austrian,Male,1896,Architecture,Architecture & Design,2,http://www.moma.org/collection/works/2,http://www.moma.org/media/W1siZiIsIjU5NDA1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=137b8455b1ec6167
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",Christian de Portzamparc,7470,French,Male,1987,Architecture,Architecture & Design,3,http://www.moma.org/collection/works/3,http://www.moma.org/media/W1siZiIsIjk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=55b65fa4368fe00a
"Villa near Vienna Project, Outside Vienna, Austria, Elevation",Emil Hoppe,7605,Austrian,Male,1903,Architecture,Architecture & Design,4,http://www.moma.org/collection/works/4,http://www.moma.org/media/W1siZiIsIjk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fdcfca4db3acac1f
"Villa, project, outside Vienna, Austria, Exterior perspective",Emil Hoppe,7605,Austrian,Male,1903,Architecture,Architecture & Design,6,http://www.moma.org/collection/works/6,http://www.moma.org/media/W1siZiIsIjEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b21f3d10def77da9
"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",Louis I. Kahn,2964,American,Male,1968,Architecture,Architecture & Design,32,http://www.moma.org/collection/works/32,http://www.moma.org/media/W1siZiIsIjE3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84cc6597561b2de4
"Royal Hunting Tent, project, Exterior perspective",Marcel Kammerer,7607,Austrian,Male,1900,Architecture,Architecture & Design,34,http://www.moma.org/collection/works/34,http://www.moma.org/media/W1siZiIsIjIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cfad4657585b97a
"House in Krems, project, Krems, Austria, Elevation",Otto Schönthal,7608,Austrian,Male,1905,Architecture,Architecture & Design,36,http://www.moma.org/collection/works/36,http://www.moma.org/media/W1siZiIsIjIzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef193035b3a3aafd
"Imperial Post Office, Teschen, Austria (Elevation)",Otto Schönthal,7608,Austrian,Male,1906,Architecture,Architecture & Design,39,http://www.moma.org/collection/works/39,
"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",Hans Poelzig,8100,German,Male,1918,Architecture,Architecture & Design,76,http://www.moma.org/collection/works/76,http://www.moma.org/media/W1siZiIsIjE2NjgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=884382c17959ab44
"Earth-Cloud House, project",Raimund Abraham,47,American,Male,1970,Architecture,Architecture & Design,79,http://www.moma.org/collection/works/79,http://www.moma.org/media/W1siZiIsIjUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c06ca87b3167c14
"House IV Project, Falls Village, Connecticut (Multiple axonometrics)",Peter Eisenman,6969,American,Male,1975,Architecture,Architecture & Design,81,http://www.moma.org/collection/works/81,http://www.moma.org/media/W1siZiIsIjIxMDA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2be15a4cb57bc7d1
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",Rem Koolhaas,6956,Dutch,Male,1987,Architecture,Architecture & Design,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",Madelon Vriesendorp,6957,Dutch,Female,1987,Architecture,Architecture & Design,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d
"Pedestrian City project, Hypostyle Courtyard (Structural details)",Roger C. Ferri,1863,American,Male,1979,Architecture,Architecture & Design,84,http://www.moma.org/collection/works/84,http://www.moma.org/media/W1siZiIsIjIxMDA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c72670d20c61cbca
"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",Michael Graves,2308,American,Male,1978,Architecture,Architecture & Design,92,http://www.moma.org/collection/works/92,http://www.moma.org/media/W1siZiIsIjYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e7b80f6dd37f836
